geom_id,pose_id,label,camera_exr_src,camera_exr_status,sun_exr_src,sun_exr_status
Hsp_vp,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vp,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vp,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vp,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vp,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vp,F3_edge,yaw240_pitch+015_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,A_top1,yaw2450_pitchp0275_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,B_R4,yaw1475_pitchp0125_roll+000,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,C_R3,yaw055_pitch+060_roll+000,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D1,yaw2450_pitchp0300_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D2,yaw2450_pitchp0325_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D3,yaw2475_pitchp0375_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D4,yaw2425_pitchp0225_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D5_roll125,yaw2450_pitchp0275_roll+0125,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsp_vm,F3_edge,yaw240_pitch+015_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G1_sun_plus,OK
Hsm_vp,A_top1,yaw2450_pitchp0275_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,B_R4,yaw1475_pitchp0125_roll+000,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,C_R3,yaw055_pitch+060_roll+000,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D1,yaw2450_pitchp0300_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D2,yaw2450_pitchp0325_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D3,yaw2475_pitchp0375_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D4,yaw2425_pitchp0225_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D5_roll125,yaw2450_pitchp0275_roll+0125,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vp,F3_edge,yaw240_pitch+015_roll+015,REUSED_26/G3_view_plus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,A_top1,yaw2450_pitchp0275_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,B_R4,yaw1475_pitchp0125_roll+000,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,C_R3,yaw055_pitch+060_roll+000,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,D1,yaw2450_pitchp0300_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
