cluster,yaw_deg,pitch_deg,roll,label,geometry,render_needed,reuse_from,ocs_existing,sun_x,sun_y,sun_z,det_x,det_y,det_z
R1_top,245.0,30.0,25.0,yaw2450_pitchp0300_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,5.0,yaw2450_pitchp0325_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,10.0,yaw2450_pitchp0325_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,12.5,yaw2450_pitchp0325_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,15.0,yaw2450_pitchp0325_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2079097,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,17.5,yaw2450_pitchp0325_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,20.0,yaw2450_pitchp0325_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,32.5,25.0,yaw2450_pitchp0325_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,5.0,yaw2450_pitchp0350_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,10.0,yaw2450_pitchp0350_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,12.5,yaw2450_pitchp0350_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,15.0,yaw2450_pitchp0350_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2062671,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,17.5,yaw2450_pitchp0350_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,20.0,yaw2450_pitchp0350_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,245.0,35.0,25.0,yaw2450_pitchp0350_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,5.0,yaw2475_pitchp0275_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,10.0,yaw2475_pitchp0275_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,12.5,yaw2475_pitchp0275_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,15.0,yaw2475_pitchp0275_roll+015,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,17.5,yaw2475_pitchp0275_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,20.0,yaw2475_pitchp0275_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,27.5,25.0,yaw2475_pitchp0275_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,5.0,yaw2475_pitchp0300_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,10.0,yaw2475_pitchp0300_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,12.5,yaw2475_pitchp0300_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,15.0,yaw2475_pitchp0300_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.1982623,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,17.5,yaw2475_pitchp0300_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,20.0,yaw2475_pitchp0300_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,30.0,25.0,yaw2475_pitchp0300_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,5.0,yaw2475_pitchp0325_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,10.0,yaw2475_pitchp0325_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,12.5,yaw2475_pitchp0325_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,15.0,yaw2475_pitchp0325_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2025427,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,17.5,yaw2475_pitchp0325_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,20.0,yaw2475_pitchp0325_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,32.5,25.0,yaw2475_pitchp0325_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,5.0,yaw2475_pitchp0350_roll+005,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,10.0,yaw2475_pitchp0350_roll+010,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,12.5,yaw2475_pitchp0350_roll+0125,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,15.0,yaw2475_pitchp0350_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2023581,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,17.5,yaw2475_pitchp0350_roll+0175,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,20.0,yaw2475_pitchp0350_roll+020,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R1_top,247.5,35.0,25.0,yaw2475_pitchp0350_roll+025,phase63_L1G1,YES,,,1.0,0.0,0.3,0.5,-1.0,0.1
R4_control,147.5,12.5,-30.0,yaw1475_pitchp0125_roll-030,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2010284,1.0,0.0,0.3,0.5,-1.0,0.1
R4_control,147.5,12.5,-15.0,yaw1475_pitchp0125_roll-015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2018225,1.0,0.0,0.3,0.5,-1.0,0.1
R4_control,147.5,12.5,0.0,yaw1475_pitchp0125_roll+000,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.2011461,1.0,0.0,0.3,0.5,-1.0,0.1
R4_control,147.5,12.5,15.0,yaw1475_pitchp0125_roll+015,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.1974041,1.0,0.0,0.3,0.5,-1.0,0.1
R4_control,147.5,12.5,30.0,yaw1475_pitchp0125_roll+030,phase63_L1G1,NO_REUSE_P3,P3_21pack,0.1941405,1.0,0.0,0.3,0.5,-1.0,0.1
