geom_id,label,view,yaw,pitch,roll,out,status
G3_view_plus,yaw2450_pitchp0275_roll+015,camera,245.0,27.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2450_pitchp0275_roll+015_camera.exr,OK
G3_view_plus,yaw1475_pitchp0125_roll+000,camera,147.5,12.5,0.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw1475_pitchp0125_roll+000_camera.exr,OK
G3_view_plus,yaw055_pitch+060_roll+000,camera,55.0,60.0,0.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw055_pitch+060_roll+000_camera.exr,OK
G3_view_plus,yaw2450_pitchp0300_roll+015,camera,245.0,30.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2450_pitchp0300_roll+015_camera.exr,OK
G3_view_plus,yaw2450_pitchp0325_roll+015,camera,245.0,32.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2450_pitchp0325_roll+015_camera.exr,OK
G3_view_plus,yaw2475_pitchp0375_roll+015,camera,247.5,37.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2475_pitchp0375_roll+015_camera.exr,OK
G3_view_plus,yaw2425_pitchp0225_roll+015,camera,242.5,22.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2425_pitchp0225_roll+015_camera.exr,OK
G3_view_plus,yaw2450_pitchp0275_roll+0125,camera,245.0,27.5,12.5,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2450_pitchp0275_roll+0125_camera.exr,OK
G3_view_plus,yaw2475_pitchp0300_roll+0175,camera,247.5,30.0,17.5,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2475_pitchp0300_roll+0175_camera.exr,OK
G3_view_plus,yaw1475_pitchp0125_roll-015,camera,147.5,12.5,-15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw1475_pitchp0125_roll-015_camera.exr,OK
G3_view_plus,yaw1475_pitchp0125_roll+015,camera,147.5,12.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw1475_pitchp0125_roll+015_camera.exr,OK
G3_view_plus,yaw2425_pitchp0275_roll+015,camera,242.5,27.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2425_pitchp0275_roll+015_camera.exr,OK
G3_view_plus,yaw2475_pitchp0300_roll+015,camera,247.5,30.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw2475_pitchp0300_roll+015_camera.exr,OK
G3_view_plus,yaw240_pitch+015_roll+015,camera,240.0,15.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G3_view_plus/yaw240_pitch+015_roll+015_camera.exr,OK
G4_view_minus,yaw2450_pitchp0275_roll+015,camera,245.0,27.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2450_pitchp0275_roll+015_camera.exr,OK
G4_view_minus,yaw1475_pitchp0125_roll+000,camera,147.5,12.5,0.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw1475_pitchp0125_roll+000_camera.exr,OK
G4_view_minus,yaw055_pitch+060_roll+000,camera,55.0,60.0,0.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw055_pitch+060_roll+000_camera.exr,OK
G4_view_minus,yaw2450_pitchp0300_roll+015,camera,245.0,30.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2450_pitchp0300_roll+015_camera.exr,OK
G4_view_minus,yaw2450_pitchp0325_roll+015,camera,245.0,32.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2450_pitchp0325_roll+015_camera.exr,OK
G4_view_minus,yaw2475_pitchp0375_roll+015,camera,247.5,37.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2475_pitchp0375_roll+015_camera.exr,OK
G4_view_minus,yaw2425_pitchp0225_roll+015,camera,242.5,22.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2425_pitchp0225_roll+015_camera.exr,OK
G4_view_minus,yaw2450_pitchp0275_roll+0125,camera,245.0,27.5,12.5,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2450_pitchp0275_roll+0125_camera.exr,OK
G4_view_minus,yaw2475_pitchp0300_roll+0175,camera,247.5,30.0,17.5,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2475_pitchp0300_roll+0175_camera.exr,OK
G4_view_minus,yaw1475_pitchp0125_roll-015,camera,147.5,12.5,-15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw1475_pitchp0125_roll-015_camera.exr,OK
G4_view_minus,yaw1475_pitchp0125_roll+015,camera,147.5,12.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw1475_pitchp0125_roll+015_camera.exr,OK
G4_view_minus,yaw2425_pitchp0275_roll+015,camera,242.5,27.5,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2425_pitchp0275_roll+015_camera.exr,OK
G4_view_minus,yaw2475_pitchp0300_roll+015,camera,247.5,30.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw2475_pitchp0300_roll+015_camera.exr,OK
G4_view_minus,yaw240_pitch+015_roll+015,camera,240.0,15.0,15.0,v0.4_results/26_three_axis_p4phys_d_sunview_small_matrix/render/G4_view_minus/yaw240_pitch+015_roll+015_camera.exr,OK
