select,degrade_level,geom_group,mode,status,source,yaw_circular_mae_deg,yaw_median_ae_deg,yaw_p90_ae_deg,yaw_hit@5,yaw_hit@10,yaw_hit@30,yaw_coarse45_acc,yaw_coarse90_acc,pitch_mae_deg,pitch_hit@10
final,clean,G1,ocs_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_ocs_only_seed42\metrics_test_final.json,78.30574727702785,78.35680389404297,162.5472412109375,0.037162162162162164,0.08445945945945946,0.2668918918918919,0.20608108108108109,0.33783783783783783,45.270827082613074,0.11148648648648649
final,clean,G1,image_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_image_only_seed42\metrics_test_final.json,12.064628067854288,10.284332275390625,25.243175506591797,0.28040540540540543,0.47635135135135137,0.9628378378378378,0.6554054054054054,0.7736486486486487,15.000425563068003,0.3277027027027027
final,clean,G1,joint,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_joint_seed42\metrics_test_final.json,2.0985748222148097,1.6278018951416016,4.2749786376953125,0.9459459459459459,0.9831081081081081,1.0,0.8986486486486487,0.9358108108108109,2.0764516062430434,0.9966216216216216
final,clean,G3,ocs_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_ocs_only_seed42\metrics_test_final.json,38.55957271994369,16.39306640625,114.01403957605362,0.19932432432432431,0.36824324324324326,0.6351351351351351,0.5033783783783784,0.6317567567567568,42.196435423511254,0.11824324324324324
final,clean,G3,image_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_image_only_seed42\metrics_test_final.json,4.945347814946561,3.719158172607422,12.129852294921875,0.625,0.8614864864864865,1.0,0.8614864864864865,0.9121621621621622,3.6413844413048513,0.9695945945945946
final,clean,G3,joint,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_joint_seed42\metrics_test_final.json,2.0315522052146293,1.4688034057617188,4.117160797119141,0.9222972972972973,0.9864864864864865,1.0,0.918918918918919,0.9358108108108109,2.852509029360639,0.9864864864864865
final,clean,G5,ocs_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_ocs_only_seed42\metrics_test_final.json,22.768993837003773,11.506095886230469,58.74951934814453,0.19594594594594594,0.44256756756756754,0.8108108108108109,0.625,0.75,37.36348094062477,0.14189189189189189
final,clean,G5,image_only,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_image_only_seed42\metrics_test_final.json,9.124051326835477,7.753761291503906,18.45458984375,0.33783783783783783,0.581081081081081,0.9966216216216216,0.8040540540540541,0.8682432432432432,16.80392538756132,0.35135135135135137
final,clean,G5,joint,OK(R115-ref),v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_joint_seed42\metrics_test_final.json,3.196814734388042,2.6930999755859375,6.398509860038757,0.7905405405405406,0.9898648648648649,1.0,0.9054054054054054,0.9324324324324325,4.006082584307453,0.9695945945945946
final,degraded-mild,G1,ocs_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_ocs_only_seed42,78.25124781357276,73.94918251037598,162.1595001220703,0.04391891891891892,0.0945945945945946,0.26013513513513514,0.20945945945945946,0.34459459459459457,45.37755323334352,0.11824324324324324
final,degraded-mild,G1,image_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_image_only_seed42,1.673330550258224,1.3235931396484375,3.4478607177734375,0.9662162162162162,1.0,1.0,0.9222972972972973,0.9391891891891891,3.4322378317246565,0.9493243243243243
final,degraded-mild,G1,joint,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_joint_seed42,1.9053558699182562,1.4396839141845703,4.25750732421875,0.9459459459459459,1.0,1.0,0.9358108108108109,0.9662162162162162,20.806497871422685,0.3918918918918919
final,degraded-mild,G3,ocs_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G3_ocs_only_seed42,40.75622015506835,19.147430419921875,113.1319351196289,0.17567567567567569,0.3310810810810811,0.597972972972973,0.46959459459459457,0.5709459459459459,43.95119786287683,0.09121621621621621
final,degraded-mild,G3,image_only,not-run,not-run,,,,,,,,,,
final,degraded-mild,G3,joint,not-run,not-run,,,,,,,,,,
final,degraded-mild,G5,ocs_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_ocs_only_seed42,27.826480695977807,13.014106750488281,81.68684387207031,0.23986486486486486,0.4155405405405405,0.7601351351351351,0.6114864864864865,0.7263513513513513,37.935739965152905,0.14527027027027026
final,degraded-mild,G5,image_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_image_only_seed42,3.50256948656327,2.351900100708008,7.777313232421875,0.8040540540540541,0.9358108108108109,1.0,0.8851351351351351,0.9391891891891891,4.74770302121603,0.9358108108108109
final,degraded-mild,G5,joint,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_joint_seed42,2.1444747025096738,1.7471847534179688,4.384820938110352,0.9358108108108109,0.9966216216216216,1.0,0.9054054054054054,0.918918918918919,1.7692496133213107,1.0
final,degraded-moderate,G1,ocs_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_ocs_only_seed42,80.35803583505991,79.2171630859375,165.74424362182617,0.07432432432432433,0.11148648648648649,0.25,0.21283783783783783,0.3310810810810811,46.049208319107244,0.12162162162162163
final,degraded-moderate,G1,image_only,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_image_only_seed42,4.209013975149876,3.304798126220703,9.0076904296875,0.6891891891891891,0.9222972972972973,1.0,0.8952702702702703,0.9324324324324325,5.532468611726889,0.9290540540540541
final,degraded-moderate,G1,joint,OK,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_joint_seed42,1.9482728379803735,1.6195907592773438,3.9960289001464844,0.9527027027027027,1.0,1.0,0.8986486486486487,0.9256756756756757,2.4415828754773012,0.9932432432432432
